date,interp_P,p_err,type
2022-04-07,1012.9041666666668,0.25,observed
2022-04-08,1014.5875,0.25,observed
2022-04-09,1010.6041666666666,0.25,observed
2022-04-10,1014.1958333333332,0.25,observed
2022-04-11,1017.2541666666666,0.25,observed
2022-04-12,1013.7583333333332,0.25,observed
2022-04-13,1007.4875,0.25,observed
2022-04-14,1004.45,0.25,observed
2022-04-15,1005.7,0.25,observed
2022-04-16,1004.7083333333331,0.25,observed
2022-04-17,1004.4666666666668,0.25,observed
2022-04-18,1008.8208333333332,0.25,observed
2022-04-19,1011.325,0.25,observed
2022-04-20,1003.9583333333331,0.25,observed
2022-04-21,995.3833333333334,0.25,observed
2022-04-22,1004.3708333333332,0.25,observed
2022-04-23,1007.7958333333332,0.25,observed
2022-04-24,1008.8958333333331,0.25,observed
2022-04-25,1009.4541666666668,0.25,observed
2022-04-26,1009.6458333333334,0.25,observed
2022-04-27,1009.5833333333331,0.25,observed
2022-04-28,1010.2458333333332,0.25,observed
2022-04-29,1012.9541666666668,0.25,observed
2022-04-30,1012.6208333333334,0.25,observed
2022-05-01,1010.2083333333334,0.25,observed
2022-05-02,1009.8708333333332,0.25,observed
2022-05-03,1010.4208333333332,0.25,observed
2022-05-04,1012.0,0.25,observed
2022-05-05,1005.9875,0.25,observed
2022-05-06,1007.7041666666664,0.25,observed
2022-05-07,1008.2583333333332,0.25,observed
2022-05-08,1011.2541666666668,0.25,observed
2022-05-09,1014.7833333333334,0.25,observed
2022-05-10,1015.675,0.25,observed
2022-05-11,1016.9916666666666,0.25,observed
2022-05-12,1018.5375,0.25,observed
2022-05-13,1017.3958333333331,0.25,observed
2022-05-14,1015.8666666666668,0.25,observed
2022-05-15,1014.2333333333332,0.25,observed
2022-05-16,1014.225,0.25,observed
2022-05-17,1013.9125,0.25,observed
2022-05-18,1012.8958333333331,0.25,observed
2022-05-19,1017.7041666666664,0.25,observed
2022-05-20,1022.1041666666669,0.25,observed
2022-05-21,1017.7041666666668,0.25,observed
2022-05-22,1011.0791666666668,0.25,observed
2022-05-23,1007.4625,0.25,observed
2022-05-24,1006.0958333333334,0.25,observed
2022-05-25,1007.9666666666666,0.25,observed
2022-05-26,1009.1791666666668,0.25,observed
2022-05-27,1007.0833333333334,0.25,observed
2022-05-28,1004.85,0.25,observed
2022-05-29,1005.0291666666668,0.25,observed
2022-05-30,1007.1541666666666,0.25,observed
2022-05-31,1009.9208333333332,0.25,observed
2022-06-01,1010.3833333333332,0.25,observed
2022-06-02,1011.1166666666668,0.25,observed
2022-06-03,1012.975,0.25,observed
2022-06-04,1013.7083333333334,0.25,observed
2022-06-05,1013.4791666666666,0.25,observed
2022-06-06,1012.4166666666666,0.25,observed
2022-06-07,1009.0291666666666,0.25,observed
2022-06-08,1008.25,0.25,observed
2022-06-09,1007.0958333333332,0.25,observed
2022-06-10,1007.625,0.25,observed
2022-06-11,1011.55,0.25,observed
2022-06-12,1012.7,0.25,observed
2022-06-13,1011.4250000000002,0.25,observed
2022-06-14,1011.85,0.25,observed
2022-06-15,1013.8583333333332,0.25,observed
2022-06-16,1013.8791666666668,0.25,observed
2022-06-17,1013.4666666666668,0.25,observed
2022-06-18,1010.7583333333332,0.25,observed
2022-06-19,1010.4166666666669,0.25,observed
2022-06-20,1011.7541666666666,0.25,observed
2022-06-21,1011.9833333333332,0.25,observed
2022-06-22,1010.2208333333332,0.25,observed
2022-06-23,1010.775,0.25,observed
2022-06-24,1009.9708333333332,0.25,observed
2022-06-25,1009.5916666666668,0.25,observed
2022-06-26,1009.1,0.25,observed
2022-06-27,1010.1041666666666,0.25,observed
2022-06-28,1009.5958333333332,0.25,observed
2022-06-29,1008.3666666666668,0.25,observed
2022-06-30,1007.6166666666668,0.25,observed
2022-07-01,1009.7375,0.25,observed
2022-07-02,1011.5291666666668,0.25,observed
2022-07-03,1010.9875,0.25,observed
2022-07-04,1010.9708333333334,0.25,observed
2022-07-05,1011.4416666666666,0.25,observed
2022-07-06,1011.3333333333331,0.25,observed
2022-07-07,1011.2291666666666,0.25,observed
2022-07-08,1011.0375,0.25,observed
2022-07-09,1011.7583333333332,0.25,observed
2022-07-10,1010.275,0.25,observed
2022-07-11,1011.8958333333331,0.25,observed
2022-07-12,1015.6416666666668,0.25,observed
2022-07-13,1015.4041666666668,0.25,observed
2022-07-14,1014.2375,0.25,observed
2022-07-15,1011.2416666666668,0.25,observed
2022-07-16,1012.075,0.25,observed
2022-07-17,1013.2766666666666,0.25,observed
2022-07-18,1013.5579166666668,0.25,observed
2022-07-19,1012.8491666666666,0.25,observed
2022-07-20,1012.9858333333334,0.25,observed
2022-07-21,1012.8,0.25,observed
2022-07-22,1012.6333333333332,0.25,observed
2022-07-23,1013.4875,0.25,observed
2022-07-24,1012.7416666666668,0.25,observed
2022-07-25,1010.0583333333334,0.25,observed
2022-07-26,1007.8,0.25,observed
2022-07-27,1006.0,0.25,observed
2022-07-28,1007.4083333333332,0.25,observed
2022-07-29,1010.0208333333334,0.25,observed
2022-07-30,1010.2875,0.25,observed
2022-07-31,1009.3791666666666,0.25,observed
2022-08-01,1008.4416666666666,0.25,observed
2022-08-02,1008.5625,0.25,observed
2022-08-03,1009.4666666666668,0.25,observed
2022-08-04,1010.5333333333332,0.25,observed
2022-08-05,1010.4625,0.25,observed
2022-08-06,1009.2541666666668,0.25,observed
2022-08-07,1007.6791666666666,0.25,observed
2022-08-08,1008.5208333333334,0.25,observed
